1000 0.000029 0.069358
2000 0.000053 0.276890
3000 0.000048 0.621214
4000 0.000085 1.108108
5000 0.000071 1.728469
6000 0.000131 2.496023
7000 0.000230 3.399760
8000 0.000218 4.435094
9000 0.000259 5.589325
10000 0.000224 6.888298
11000 0.000297 8.342497
12000 0.000312 9.906922
13000 0.000310 11.635749
14000 0.000364 13.488703
15000 0.000397 15.526214
16000 0.000405 17.624701
17000 0.000446 19.892971
18000 0.000381 22.355619
19000 0.000520 24.913224
20000 0.000527 27.494105
21000 0.000528 30.456182
22000 0.000588 33.335601
23000 0.000619 36.439490
24000 0.000781 39.702706
25000 0.000667 43.144178
26000 0.000707 46.600115
27000 0.000702 50.252412
28000 0.000781 54.041855
29000 0.000839 57.970462
30000 0.000833 62.118947
