100 3.619194e-04 7.538795e-04 1.147032e-03 3.740788e-04 1.075029e-03 1.466036e-03 3.399849e-04 7.841587e-04 1.142025e-03 4.401207e-04 8.869171e-04 1.348019e-03
200 8.440018e-04 1.462936e-03 2.326012e-03 1.150846e-03 1.785040e-03 2.957106e-03 1.009941e-03 1.044989e-03 2.074003e-03 8.680820e-04 2.740145e-03 3.633022e-03
300 1.588106e-02 2.513885e-03 1.843691e-02 4.890919e-03 7.128954e-03 1.206207e-02 4.532099e-03 4.611969e-03 9.184837e-03 5.171061e-03 5.673885e-03 1.088786e-02
400 1.273870e-03 6.112099e-03 7.420063e-03 1.268148e-03 7.737875e-03 9.038925e-03 1.138926e-03 3.556967e-03 4.724026e-03 1.701117e-03 5.179882e-03 6.920815e-03
500 2.917051e-03 6.872892e-03 9.850025e-03 2.814054e-03 8.090019e-03 1.094007e-02 2.526999e-03 4.079103e-03 6.643057e-03 3.666878e-03 5.258083e-03 8.963108e-03
600 3.189802e-03 7.094145e-03 1.032591e-02 4.369020e-03 9.371996e-03 1.378393e-02 3.897905e-03 4.630089e-03 8.566141e-03 5.738020e-03 6.253004e-03 1.202893e-02
700 3.990173e-03 7.864952e-03 1.190305e-02 3.930092e-03 1.267195e-02 1.664901e-02 4.832029e-03 5.937099e-03 1.081610e-02 7.409811e-03 5.738974e-03 1.319504e-02
800 5.473137e-03 8.092880e-03 1.361895e-02 7.607937e-03 9.593010e-03 1.725793e-02 6.752968e-03 6.560802e-03 1.336408e-02 1.020217e-02 6.331921e-03 1.658583e-02
900 6.757975e-03 8.495808e-03 1.531506e-02 9.563923e-03 1.004720e-02 1.966882e-02 8.499861e-03 6.834030e-03 1.539207e-02 1.307201e-02 6.883860e-03 2.001309e-02
1000 8.584023e-03 8.975029e-03 1.762104e-02 8.619070e-03 1.450706e-02 2.318287e-02 1.071501e-02 7.883072e-03 1.866198e-02 9.528160e-03 1.234603e-02 2.193880e-02
