1000 1.208496e-02 8.453846e-03 2.063608e-02 8.891821e-03 1.321411e-02 2.217102e-02 1.166320e-02 5.878210e-03 1.759601e-02 1.643801e-02 1.157308e-02 2.807784e-02
2000 5.496097e-02 2.027607e-02 7.537317e-02 5.397105e-02 3.708911e-02 9.114599e-02 4.989696e-02 3.204393e-02 8.202791e-02 4.753995e-02 2.699804e-02 7.463408e-02
3000 1.300550e-01 2.790403e-02 1.581011e-01 1.299539e-01 5.523491e-02 1.853290e-01 1.185851e-01 5.636692e-02 1.751170e-01 8.000183e-02 6.473207e-02 1.448741e-01
4000 2.448349e-01 3.679204e-02 2.818139e-01 2.455771e-01 8.080912e-02 3.266211e-01 2.232239e-01 6.040597e-02 2.837892e-01 2.028611e-01 1.271899e-01 3.302422e-01
5000 3.942180e-01 3.888702e-02 4.333322e-01 3.939381e-01 9.636116e-02 4.905798e-01 6.788220e-01 7.881713e-02 7.578678e-01 3.319850e-01 1.804218e-01 5.126958e-01
6000 5.960159e-01 5.521894e-02 6.514540e-01 3.519681e-01 9.928703e-02 4.515750e-01 5.415828e-01 9.615302e-02 6.380019e-01 4.924321e-01 1.932130e-01 6.859260e-01
7000 8.397510e-01 6.096911e-02 9.010410e-01 8.363709e-01 1.277940e-01 9.644790e-01 7.536452e-01 1.152539e-01 8.692501e-01 6.980290e-01 2.228830e-01 9.212041e-01
8000 1.111506e+00 6.705117e-02 1.703649e+00 1.113146e+00 3.491321e-01 1.462676e+00 1.007061e+00 1.118360e-01 1.119330e+00 9.274049e-01 2.497900e-01 1.177599e+00
9000 1.433532e+00 7.304001e-02 1.506951e+00 1.433361e+00 1.487389e-01 1.582498e+00 1.309565e+00 1.276789e-01 1.437621e+00 1.194423e+00 2.791879e-01 1.473973e+00
10000 1.794980e+00 8.112502e-02 1.876533e+00 1.798276e+00 1.636958e-01 1.962397e+00 1.643997e+00 1.458540e-01 1.790288e+00 1.500495e+00 3.107789e-01 1.811696e+00
